from_account,to_account,amount_inr,date
ACC9003,ACC9002,75000,2026-03-07
ACC9004,ACC9002,85000,2026-03-11
ACC9005,ACC9002,75000,2026-03-07
ACC9006,ACC9002,65000,2026-03-02
ACC9007,ACC9002,70000,2026-03-09
ACC9008,ACC9002,55000,2026-03-11
ACC9002,ACC7777,350000,2026-03-16
ACC9002,ACC7777,425000,2026-03-17
ACC7777,ACC9001,700000,2026-03-18
ACC8001,ACC7777,510000,2026-03-17
ACC1003,ACC1007,8500,2026-03-09
ACC1011,ACC1010,1500,2026-03-06
ACC1007,ACC1006,12500,2026-03-25
ACC1001,ACC1014,1000,2026-03-27
ACC1006,ACC1011,10500,2026-03-05
ACC1011,ACC1007,7500,2026-03-18
ACC1006,ACC1008,14000,2026-03-13
ACC1002,ACC1007,13000,2026-03-22
ACC1000,ACC1002,3500,2026-03-24
ACC1011,ACC1014,2000,2026-03-08
ACC1012,ACC1004,13500,2026-03-25
ACC1003,ACC1013,12500,2026-03-02
ACC1004,ACC1000,12500,2026-03-26
ACC1010,ACC1007,3000,2026-03-08
ACC1000,ACC1011,16500,2026-03-28
ACC1008,ACC1007,9000,2026-03-01
ACC1014,ACC1009,1500,2026-03-10
ACC1003,ACC1002,1000,2026-03-09
ACC1002,ACC1013,8000,2026-03-13
ACC1008,ACC1013,4500,2026-03-07
ACC1000,ACC1002,13500,2026-03-12
ACC1002,ACC1010,4000,2026-03-03
ACC1001,ACC1003,5000,2026-03-17
ACC1010,ACC1006,13000,2026-03-09
ACC1003,ACC1014,19000,2026-03-12
