caller,receiver,timestamp,duration_sec,tower_id
9822000004,9822000001,2026-03-01 06:00,506,TWR565
9811000007,9811000002,2026-03-01 16:00,453,TWR341
9811000006,9811000002,2026-03-01 17:00,572,TWR271
9811000004,9811000002,2026-03-01 18:00,306,TWR273
9811000008,9811000002,2026-03-01 20:00,595,TWR879
9811000003,9811000002,2026-03-01 21:00,394,TWR819
9822000005,9822000001,2026-03-02 07:00,284,TWR109
9822000002,9822000001,2026-03-02 09:00,583,TWR114
9811000007,9811000002,2026-03-03 01:00,278,TWR413
9811000005,9811000002,2026-03-03 14:00,507,TWR579
9822000005,9822000001,2026-03-03 14:00,246,TWR971
9822000003,9822000001,2026-03-03 23:00,393,TWR366
9822000003,9822000001,2026-03-04 01:00,215,TWR793
9822000005,9822000001,2026-03-04 07:00,588,TWR796
9822000004,9822000001,2026-03-04 08:00,224,TWR863
9811000008,9811000002,2026-03-04 09:00,75,TWR350
9811000007,9811000002,2026-03-04 10:00,158,TWR765
9811000003,9811000002,2026-03-04 11:00,498,TWR588
9822000004,9822000001,2026-03-04 11:00,58,TWR277
9811000006,9811000002,2026-03-04 12:00,470,TWR521
9822000003,9822000001,2026-03-04 14:00,342,TWR609
9811000004,9811000002,2026-03-04 15:00,42,TWR987
9822000002,9822000001,2026-03-04 20:00,217,TWR233
9822000005,9822000001,2026-03-04 21:00,370,TWR127
9990001111,9822000001,2026-03-05 00:00,543,TWR728
9990001111,9811000002,2026-03-05 01:00,444,TWR921
9864073233,9822023225,2026-03-05 06:00,569,TWR573
9822000002,9822000001,2026-03-05 08:00,397,TWR905
9990001111,9822000001,2026-03-05 10:00,247,TWR349
9811000004,9811000002,2026-03-05 12:00,431,TWR919
9822000003,9822000001,2026-03-05 23:00,413,TWR108
9811000006,9811000002,2026-03-06 04:00,246,TWR531
9811000004,9811000002,2026-03-06 05:00,538,TWR487
9811000006,9811000002,2026-03-06 09:00,108,TWR260
9822000005,9822000001,2026-03-06 09:00,544,TWR138
9811000005,9811000002,2026-03-06 10:00,437,TWR299
9990001111,9811000001,2026-03-06 11:00,339,TWR312
9811000006,9811000002,2026-03-06 20:00,353,TWR228
9822023225,9817554395,2026-03-07 00:00,308,TWR539
9811000004,9811000002,2026-03-07 01:00,215,TWR741
9811000006,9811000002,2026-03-07 03:00,196,TWR555
9822000005,9822000001,2026-03-07 04:00,391,TWR575
9811000006,9811000002,2026-03-07 05:00,30,TWR202
9990001111,9811000001,2026-03-07 05:00,567,TWR993
9811000007,9811000002,2026-03-07 07:00,331,TWR951
9811000008,9811000002,2026-03-07 07:00,198,TWR624
9822000004,9822000001,2026-03-07 07:00,342,TWR371
9990001111,9811000001,2026-03-07 10:00,66,TWR269
9990001111,9811000002,2026-03-07 13:00,520,TWR326
9822000003,9822000001,2026-03-07 14:00,175,TWR550
9811000004,9811000002,2026-03-07 15:00,489,TWR510
9990001111,9811000002,2026-03-07 17:00,272,TWR445
9811000004,9811000002,2026-03-07 19:00,295,TWR715
9822000003,9822000001,2026-03-07 20:00,284,TWR114
9811000007,9811000002,2026-03-07 22:00,589,TWR401
9822000002,9822000001,2026-03-07 22:00,40,TWR593
9990001111,9811000001,2026-03-07 22:00,455,TWR348
9811000003,9811000002,2026-03-08 02:00,598,TWR176
9811000003,9811000002,2026-03-08 03:00,183,TWR865
